name,birthdate,bio,area,employer,headcount,Уровень образования,Профессиональные навыки,Личные качества,Знание языков,Категории водительских прав,Обязанности,Курсы и сертификаты
Учитель казахского языка и литературы,,,,,,высшее,Моделирование урока;Преподавание предметов на казахском языке;Ведение учебной документации;Работа с обучаемыми;Владение современными технологиями и методиками преподавания,Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Целеустремленность;Аккуратность;Вежливость;Работа в MS Office,,,,
Врач общей практики,,,,,,послевузовское,"Оказание квалифицированной, скорой и других видов медицинской помощи",Ответственность,,,,
Сторож,от 110 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Надзор за сохранностью имущества;Надзор за сохранностью сооружений;Охрана производителей,Адаптивность,,"B, C",,
Web-разработчик,от 900 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Кодирование и реализация web-ресурса,Адаптивность;Ответственность,,B,,
Администратор офиса,от 250 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Организация документооборота,Ответственность,,,,
Учитель начальных классов,от 250 000 тенге,,,,,техническое и профессиональное,Работа с обучаемыми;Организация учебно-воспитательного процесса;Разработка обучающих программ;Определение  четких  целей  уроков;Обеспечение методического сопровождения педагогического процесса;Проведение занятия для творческого развития детей,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Терпеливость;Умение работать в команде;Целеустремленность;Дисциплинированность;Аккуратность;Аналитическое мышление;Вежливость;Доброжелательность;Выносливость и усердие;Письменные коммуникативные навыки;Устные коммуникативные навыки;Концентрация и управление вниманием;Поиск и анализ информации;Проектное мышление;Добропорядочность,,,,
SMM-менеджер,от 240 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Разработка маркетинговых мероприятий для продвижения товара;Проведение переговоров и формирование коммерческих документов и соглашений;Информирование о маркетинговых акциях, продуктах и специальных предложений;Умение продвигать товары и услуги",Адаптивность;Ответственность,,,,
Учитель технологии,от 300 000 тенге,,,,,высшее,Развитие творческих способностей учащихся;Преподавание предметов на русском языке;Планирование учебного занятия;Моделирование урока;Наставничество и обучение,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность,Казахский - высокий уровеньРусский - высокий уровеньАнглийский - начальный уровень,B1,,"Сертификат GDP-Надлежащая дистрибьюторская практикаGDP–этоодна из систем контроля качества, обеспечивающая качество фармацевтической продукции, которое гарантируется соответствующим контролем действий, совершаемых в ходе дистрибуции, а также инструмент, обеспечивающий защиту организации от фальсифицированных, недоброкачественных и незаконных копий лекарственных средств и изделий медицинского назначения.Сертификат Бухгалтера-Можно назвать такие обычные для бухгалтера обязанности как:работа с первичными документами (прием, составление, обработка и т.д.);ведение бухгалтерского учета (фиксация на счетах бухучета операций, имущества и обязательств);начисление заработной платы работникам и исчисление налогов с зарплаты;ведение кадрового учета;оформление расчетов с контрагентами;начисление и перечисление налогов;подготовка и сдача бухгалтерской и налоговой отчетности и.т.д.Курс Дизайнер интерьераДизайнер интерьера — это специалист, который занимается разработкой эстетически привлекательных, функциональных и удобных интерьерных решений для жилых и коммерческих помещений. Это творческая и практическая деятельность, связанная с созданием и преобразованием внутреннего пространства. Цель дизайнера интерьера - создать интерьер, который отвечает требованиям и предпочтениям клиента, а также соответствует их бюджету."
Подсобный рабочий,от 100 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Предотвращение проникновения инфекции в растения;Уход за растениями во время  вегетации,Адаптивность,,,,
Водитель автомобиля,,,,,,высшее,Безопасное управление различными машинами;Ремонт и замена частей автомобиля;Умение водить автомобиль;Осмотр легкового автомобиля и подготовка к поездке;Перевозка пассажиров и багажа;Знание правил дорожного движения,Адаптивность;Самостоятельность и ответственность;Стрессоустойчивость,,B,,
Учитель казахского языка и литературы,от 250 000 тенге,,,,,высшее,Работа с обучаемыми;Моделирование урока;Ведение учебной документации;Преподавание предметов на казахском языке;Агрохимические приемы возделывания культур;Выращивание высококачественных сортов семян,Ответственность;Пунктуальность,Казахский - высокий уровеньРусский - продвинутый уровеньАнглийский - начальный уровень,,,"""Цифрлық сауаттылық негіздері және ААЖ-да жұмыс істеу Кundelik.kz ҚР жалпы білім беретін мектептерінің мұғалімдері үшін"" тақырыбы бойынша 72 сағат көлемінде біліктілікті арттыру онлайн-курсы, ""Күнделік ЖШС"" 07.10.2022ж.""Мектептегі ""Қазақ тілі"" мен ""Қазақ әдебиеті"" сабақтары: басымдықтар және жетілдіру стратегиялары"" білім беру бағдарламалары бойынша 120 академиялық сағат көлеміндегі курс, ПШО, 06.06.2022ж.""Педагогикалық цифрлық құзырлығын дамыту"" ""Өрлеу БАҰО"" 18.09.2021ж.Сертификат: ""Цифрлық сауаттылық"" 04.06.2021ж.Қазақстан Республикасында білім беру мазмұнын жаңарту шеңберінде орыс тілді мектептердегі ""Қазақ тілі мен әдебиеті"" пәні бойынша педагог кадрлардың біліктілігін арттыру білім беру бағдарламасы бойынша 160 академиялық сағат көлеміндегі оқу курсы, ""Өрлеу БАҰО""  қараша 2020ж.""Мүмкіндігі шектеулі балалармен жұмыс"" тақырыбындағы 72 сағаттық оқу курсы, 02.10.2020ж.""Білім беру мазмұнын жаңарту жағдайында қазақ тілі мен әдебиеті пәні бойынша оқыту процесін жобалау"" тақырыбындағы 36 сағат көлеміндегі біліктілікті арттыру оқу курсы, ""Өрлеу БАҰО"" 04.10.2019ж.""Қазақ тілі мен әдебиеті мамандығынан ""Өзге ұлт өкілдеріне қазақ тілі мен әдебиеті оқыту әдістемесі"" тақырыбындағы 72 сағат көлеміндегі оқу курсы,  ОҚМПУ, ""ЮКГУ"" жауапкершілігі шектеулі серіктестігі, 31.05.2019ж."
Тренер-преподаватель по спорту,от 750 000 тенге,,,,,высшее,Планирование тренировочного процесса;Оказание первой медицинской помощи;Владение методикой обучения военной подготовки;Моделирование учебно-тренировочных занятий,"Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Умение быстро принимать решения;Умение работать в команде;Дисциплинированность;Эмоциональный интеллект;Аналитическое мышление;Вежливость;Устные коммуникативные навыки;Письменные коммуникативные навыки;Мотивированность;Навык ведения переговоров;Наставничество (менторинг, коучинг);Проектное мышление;Добропорядочность;Тайм-менеджмент;Лидерство;Логическое мышление;Многозадачность",,"A, B",,
Горничная,от 200 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Уборка общественных зон и служебных помещений;Стирка и глажка белья и мелкий ремонт;Контроль качества уборки и комплектации номеров, общественных помещений;Работа по обслуживанию гостей в номера;Уборка номерного фонда отеля после выезда гостей;Генеральная уборка номерного фонда;Текущая уборка номерного фонда отеля",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Системное мышление;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Умение работать в команде;Управление изменениями;Целеустремленность;Дисциплинированность;Аккуратность;Вежливость;Доброжелательность;Выносливость и усердие;Способность к обучению и самообучению;Творчество и креативность;Знание продукта;Контроль рабочих процессов;Логическое рассуждение;Проведение опросов и исследований;Проведение обзоров и мониторинг цен;Работа в MS Office;Работа в условиях неопределенности,,,,
Учитель казахского языка и литературы,от 300 000 тенге,,,,,высшее,Работа с обучаемыми;Ведение учебной документации;Преподавание предметов на казахском языке,Ответственность;Самостоятельность и ответственность;Терпеливость;Умение работать в команде;Аккуратность,Казахский - высокий уровень,,,
name,birthdate,bio,area,employer,headcount,Тип занятости,График работы,Условия труда,Стажировка,Опыт работы,Образование,Рабочих мест,Обязанности,Профессиональные навыки,Личные качества,Знание языков,Регион,Место работы,Категории водительских прав,Требования к квалификации
Врач-офтальмолог,от 300 000 тенге,Медицина и фармацевтика,Здравоохранение и социальное обслуживание населения,"Товарищество с ограниченной ответственностью ""TESM Company""",Количество работников: 1,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,3,1. Плановый прием больных с патологиями органа зрения2. Знание протоколов диагностики и лечения заболеваний органа зрения3. Подготовка пациентов на плановое хирургическое лечение4. Ведение пациентов после хирургического лечения5. Функциональная диагностика на офтальмологических аппаратах,"Лечебно-диагностический процесс с использованием  аппаратуры и инструментария;Ведение медицинской документации;Оказание медицинской помощи при неотложных и угрожающих жизни состояниях;Профилактика, диагностика, лечение, реабилитация пациентов;Выявление эндокринной офтальмопатии;Выявление офтальмологических заболеваний;Назначение и интерпретация результатов инструментальных, лабораторных и функциональных методов исследования;",Ответственность;Пунктуальность;Самостоятельность и ответственность;,Русский / высокий уровень,"г. Алматы, Алмалинский район",город Алматы,,
Оператор Call-центра,от 100 000 до 100 000 тенге,HR и секретариат,"Розничная торговля электрическими бытовыми приборами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м","Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Количество работников: 5000,постоянная,полный рабочий день,нормальные,"Предполагается, не оплачивается",Опыт не требуется, техническое и профессиональное,1,""">Обязанности:Поиск кандидатов для закрытия вакансийОрганизовывать собеседованияПроводить телефонные интервьюУсловия:График работы: 09:00 -18:00​​​​​​​"">Пятидневная рабочая неделя"">Гарантируем профессиональное обучение&nbsp"">Требования:Уверенный пользователь ПК"">Образование не ниже средне-профессиональногоДисциплинированность"">Активность, самостоятельность, обучаемость.",Прием и распределение входящих звонков;,Устные коммуникативные навыки;Способность к обучению и самообучению;Работа в MS Office;,,"г. Алматы, Алмалинский район",Жибек Жолы 135,,
Грузчик,от 126 000 до 126 000 тенге,Торговля и складирование,"Розничная торговля электрическими бытовыми приборами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м","Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Количество работников: 5000,постоянная,полный рабочий день,нормальные,"Предполагается, не оплачивается",Опыт не требуется, техническое и профессиональное,2,Мы предлагаем:Официальную зарплату 126 000 тг. на руки;Сменный график 2/2;Дружный коллектив;Карьерный рост;Брендированную форму;Обязанности:Погрузочно-разгрузочные работы;Обеспечивать сохранность ТМЦ;Осуществлять сбор товара;Поддерживать порядок на складе.Требования:Ответственность;Дисциплинированность;Физически крепкое здоровье.По вопросам вакансии просим обращаться по номеру: +7 747 727 5269 Мария,"Перемещение и укладка грузов;Осуществление  погрузочно-разгрузочных работ;Выгрузка, погрузка и внутри складская переработка груза;Погрузка и разгрузка товаров;",Пунктуальность;Умение работать в команде;Дисциплинированность;Аккуратность;Выносливость и усердие;Добропорядочность;,,"г. Алматы, Алмалинский район","г.Алматы, Толе би 187",,
Медицинская сестра (высокой квалификации),от 200 000 тенге,Медицина и фармацевтика,Здравоохранение и социальное обслуживание населения,"Товарищество с ограниченной ответственностью ""TESM Company""",Количество работников: 1,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",1 год, техническое и профессиональное,1,Выполнение медицинских услуг по назначению врача-офтальмолога,"Оказание квалифицированной, скорой и других видов медицинской помощи;Оказание лечебно-профилактической помощи;Амбулаторный прием, оформление медицинской документации;Ассистирование врачу в осуществлении диагностических и лечебных манипуляций;",Ответственность;Пунктуальность;Стрессоустойчивость;,Русский / высокий уровень,"г. Алматы, Алмалинский район",город Алматы,,
"Санитар, санитарка",от 200 000 тенге,Медицина и фармацевтика,Здравоохранение и социальное обслуживание населения,"Товарищество с ограниченной ответственностью ""TESM Company""",Количество работников: 1,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,1. Проведение уборки2. Контроль за чистотой и порядком в клинике3. Знание асептики и антисептики,Проведение уборки;Контроль за соблюдением санитарных норм;Уборка общественных зон и служебных помещений;Оказание помощи инвалидам и лицам с ограниченными возможностями здоровья;Помощь в уходе за больными;,Ответственность;Пунктуальность;Стрессоустойчивость;,Русский / средний уровень,"г. Алматы, Алмалинский район",город Алматы,,
Администратор клиники,от 200 000 тенге,Медицина и фармацевтика,Здравоохранение и социальное обслуживание населения,"Товарищество с ограниченной ответственностью ""TESM Company""",Количество работников: 1,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",Опыт не требуется,высшее,1,1. Консультирование пациентов по услугам по телефону и на регистратуре клиники2. Запись на прием,Учет и регистрация документов;Ведение делопроизводства;Регистрация входящей и исходящей информации;Ведение медицинской документации;Ведение записей о пациентах;,Ответственность;Пунктуальность;Аккуратность;,Русский / высокий уровеньКазахский / начальный уровень,"г. Алматы, Алмалинский район",город Алматы,,
Делопроизводитель,от 200 000 тенге,HR и секретариат,Деятельность агентств по трудоустройству,"Товарищество с ограниченной ответственностью ""Феникс Интернешнл Ресорсиз Каспиан""",Найм и подбор персонала,постоянная,полный рабочий день,нормальные,Не предполагается,2 года,послевузовское,1,,Ведение электронной базы данных;Ведение документации и формирование отчетности;Учет и регистрация документов;Ведение делопроизводства;Организация документооборота;Регистрация входящей и исходящей информации;,Ответственность;Пунктуальность;Системное мышление;Гибкость мышления;Умение быстро принимать решения;Умение работать в команде;Аккуратность;Поиск и анализ информации;Контроль рабочих процессов;,Казахский / продвинутый уровеньРусский / продвинутый уровень,г. Алматы,,,
"Другие служащие на транспорте, н.в.д.г.",от 85 000 тенге,Деятельность грузового железнодорожного транспорта,Деятельность грузового железнодорожного транспорта,"Филиал акционерного общества ""Национальная компания Қазақстан темір жолы"" Алматинское отделение магистральной сети""",Количество работников: 317,постоянная,полный рабочий день,нормальные,,3 года,,1,"Должностные обязанности:Составление анализа работы текущего отцепочного ремонта вагонов;Составление анализа задержек грузовых и пассажирских поездов по вине вагонного хозяйства (ВЧДЭ);Учет среднесуточного остатка вагонов текущего отцепочного ремонта;Оформление протоколов и приказов о наложении дисциплинарных взысканий на работников отдела;Учет рабочего времени работы работников отдела, составление и предоставление табеля по учету рабочего времени отдела;Предоставление анализов: месячных, квартальных, полугодовых и годовых отчетов по вагонному хозяйству (ВЧДЭ);Расследование случаев выбитых поездов по вине вагонного хозяйства (ВЧДЭ);Принимает участие в проведении экспериментальных работ по освоению новых технологических процессов и внедрению их в производство;Выполняет отдельные указания руководства центра управления движением поездов по кругу своих обязанностей.Квалификационные требования:Образование: высшее (или послевузовское);Специальность в сфере: Транспорт, транспортная техника и технологии (Вагоны), Эксплуатация, ремонт и техническое обслуживание подвижного состава железных дорог (по видам);Опыт работы: не менее 5 лет ж.д.транспорте, не менее 2 лет в сфере вагонного хозяйства.",,,,г. Алматы,,,
Торговый представитель,от 100 000 тенге,Торговля и складирование,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,"Товарищество с ограниченной ответственностью ""КазПолимерИнвест""","ТОО ""КазПолимерИнвест"" — крупный международный поставщик упаковочных материалов из полиэтилена на рынке Казахстана.",постоянная,полный рабочий день,нормальные,Не предполагается,5 лет, техническое и профессиональное,1,"Обязанности:Привлечение новых заказчиков;Обзвон потенциальных клиентов;Расширение клиентской базы;Ведение переговоров с клиентами;Консультирование клиентов по товарам, их стоимости, характеристикам, условиям продаж;Презентация товара потенциальному потребителю.Требования:Знание казахского и русского языков;Грамотная речь;Умение продавать товары.Условия:Щедрые бонусы за привлечение новых заказчиков;Официальное оформление;Своевременная заработная плата;Работа в офисе;График 6/1, пн-сб: 09:00-18:00, обед: 12:00-13:00",привлечение новых заказчиков;Презентация товара потенциальному потребителю;Привлечение клиентов с целью увеличения объёмов продаж;Исследование рынка;Расширение базы клиентов;Умение продвигать товары и услуги;,Ответственность;Понимание бизнеса;Пунктуальность;Самостоятельность и ответственность;Стратегическое мышление;Вежливость;Устные коммуникативные навыки;,Казахский / высокий уровеньРусский / высокий уровень,"г. Алматы, Турксибский район",312 Сүйінбай Даңғылы,,
Воспитатель,от 180 000 до 220 000 тенге,Образование и воспитание,Дошкольное образование,"Товарищество с ограниченной ответственностью ""MARY POPPINS""",Детский сад,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,Будет ознакомлен при собеседовании,"Проведение воспитательных мероприятий;Проведение занятия для творческого развития детей;Знание методов диагностики личностного потенциала обучающего;Сотрудничество с родителями, социальными партнерами;Умение выстраивать коммуникацию на нескольких языках;",Ответственность;Пунктуальность;Самостоятельность и ответственность;,,"г. Алматы, Наурызбайский район",улица Кали Надырова 98/1,,
